GEO_ID,NAME,S2201_C03_001E,S2201_C03_009E
2013,Aleutians East,111,61
2016,Aleutians West,70,35
2020,Anchorage,9280,5316
2050,Bethel,1796,1251
2060,Bristol Bay,19,10
2068,Denali,36,5
2070,Dillingham,375,248
2090,Fairbanks North Star,2529,1474
2100,Haines,79,20
2105,Hoonah-Angoon,112,50
2110,Juneau,1030,506
2122,Kenai Peninsula,2090,997
2130,Ketchikan Gateway,787,366
2150,Kodiak Island,403,253
2158,Kusilvak,1013,800
2164,Lake and Peninsula,102,50
2170,Matanuska-Susitna,3178,1595
2180,Nome,914,657
2185,North Slope,343,181
2188,Northwest Arctic,641,480
2195,Petersburg,130,35
2198,Prince of Wales-Hyder,414,209
2220,Sitka,296,111
2230,Skagway,11,4
2240,Southeast Fairbanks,191,69
2261,Valdez-Cordova,143,56
2275,Wrangell,148,57
2282,Yakutat City,20,6
2290,Yukon-Koyukuk,607,265
